cname1,ccode1,territor,river,maritime,milex_i,milper_i,cinc_i,domrel_i,englishlanguage_i,frenchlanguage_i,arabiclanguage_i,spanishlanguage_i,navaltonnage_i,jointigo,same_major_relig,corr_relig,ptacnt,capitaldistance,centdistance,mindistance,polity2_i,xrreg_i,xrcomp_i,xropen_i,xconst_i,parreg_i,parcomp_i,exrec_i,exconst_i,polcomp_i,gdp_i,gdpcap_i,pop_i,infantmortality_i,fdiingdp_i,fdioutgdp_i,aidgni_i,fuelexports_i,r_eastasia,r_europe,r_latin,r_me,r_none,r_na,r_southasia,r_africa,migration_ij,migration_ji,trade_ij,expfob_ij,expfob_ji
AFGHANISTAN,700,0,0,0,102917.022828583,78.57531,.0015263382142374,2,0,0,0,0,0,3.225044,.23452024,.2194912980882436,.0041430742,7122.437,6958.4487,5966.5591,4.9404635,-31.702013,-32.472645,-32.041603,-31.844387,-30.670809,-32.077805,-31.169392,-31.844387,-32.077805,8812973217.007261,373.722248875751,14470757.51330542,147.2510333648548,.8734326879337101,.0108256459801339,10.37037699574373,13.68348799539081,0,0,0,0,0,0,1,0,5653462,4762382,30620114113.63351,5846800019.638257,17971907394.50293
ALBANIA,339,0,0,0,118064.5712548967,44.250843,.000545922828583,2,0,0,0,0,1800,9.9042282,.23452024,.5044545862402505,.0031763569,5828.4326,5831.7056,5252.1719,7.6036744,2.1272457,1.5056058,4,2.653924,3.4929082,2.0394435,4.640686,2.653924,3.5859787,6486487309.780192,2125.018552163457,2725592.689585303,36.13141939369634,3.126344605293268,.1178792752711376,11.18433034870843,2.438387233675123,0,1,0,0,0,0,0,0,6843418,2788597,28568060360.38416,5647828041.495191,19129320892.24151
ALGERIA,615,0,0,0,1206354.844849512,112.50233,.0032120519570439,2,0,0,1,0,7849.261578044597,8.0192175,.23701298,.2268417364404836,.42153892,6004.1982,6093.3145,4658.8086,4.7392964,2,.86675143,3.4670057,1.8776318,3.5609722,1.7347746,3.2664971,1.8776318,2.908577,79586083986.47682,3329.874524024835,23132771.5930479,77.03128444256228,.6166191478542963,.038835309982134,1.237986751848404,93.03109504172556,0,0,0,1,0,0,0,0,8714410,4329019,753515329848.9454,401087202392.5675,274369856610.1157
ANDORRA,232,0,0,0,0,-.68502027,2.53136437247e-06,1,0,0,0,0,0,2.0383627,.63978755,.6457385061828593,.037563872,6020.4976,6033.939,5548.2114,,,,,,,,,,,1994630072.723597,39184.80013801641,45552.17114683236,5.748996611936356,,,0,.0602331525783982,0,1,0,0,0,0,0,0,0,0,0,0,0
ANGOLA,540,0,0,0,854007.5978835978,90.973732,.0014745001889645,1,0,0,0,0,0,7.5502644,.61712694,.6262594807313114,.56796771,7146.8149,7321.9097,6078.4971,6.596561,-16.495087,-17.285336,-14.914588,-15.704838,-15.238284,-16.493765,-15.704838,-15.704838,-15.378496,31608130041.52744,2197.216452459258,13068209.35525321,127.3555960548881,9.047292025534071,.4429189837098081,5.705821372197811,81.27862354108034,0,0,0,0,0,0,0,1,5048815,3556029,192154654722.9717,112090046173.4534,54000118059.01472
ANTIGUA AND BARBUDA,58,0,.0013989927252378,0,2164.679963108139,0,2.94278994697e-06,1,1,0,0,0,0,15.732304,.62521172,.6224424126439847,.45339578,8736.9072,8789.8369,8314.7871,,,,,,,,,,,778752054.7366258,10179.93132633012,75645.34632234264,19.10935626791763,8.127267936978212,.6350907786897243,1.227304868018882,.2424442836791512,0,0,1,0,0,0,0,0,1489475,2745068,9976046485.063332,0,7328372285.684908
ARGENTINA,160,.0042168675,.1390060240963855,.0042168675,2079816.117790085,114.97893,.0060976679994598,1,0,0,0,1,62907.63649871674,20.354856,.60031462,.6015420590693105,.2915343,10590.721,10965.292,9071.2598,13.025801,2.7175469,2.4350939,4,4.1569633,2.7540185,2.7891395,6.5877347,4.1569633,5.6851277,222052862802.2995,7225.508656678843,30346688.07388897,30.83251864783414,1.433704998039201,.1987547759855145,.0706277860458318,6.401457736434034,0,0,1,0,0,0,0,0,7850472,7462114,936407257989.8888,458026905648.8943,371720715142.6069
ARMENIA,371,0,0,0,325350.9039186134,45.29126,.0006853734740015,1,0,0,0,0,0,12.608516,.63978755,.6441043735758217,.12504765,6150.3442,6148.3989,5583.2505,14.704597,2.282969,2.1397891,4,4.5704598,2.6443105,3.4261491,6.7102485,4.5704598,7.0648079,4497025274.925992,1450.166896935222,3138915.399773926,28.96857573474044,3.999428271471389,.1419090040544241,10.11037986571646,4.93298884134817,0,1,0,0,0,0,0,0,3534369,1052998,16602204846.96337,4752715191.331518,8269104345.407303
AUSTRALIA,900,0,0,0,5308493.072808321,65.55545,.0074126514115901,1,1,0,0,0,74373.09928407402,.88464135,.60031462,.6048541348856028,.05358376,13070.739,12267.822,9841.376,21,3,3,4,7,5,5,8,7,10,544171127072.0761,33045.35030976336,15772337.21356207,10.51715520734851,1.817134633355342,.8271003967843105,0,16.23880068348403,1,0,0,0,0,0,0,0,9446343,11356263,2882399527126.786,1226154561318.545,1233091523801.696
AUSTRIA,305,0,0,0,1075247.362690801,47.194382,.0027617135215453,1,0,0,0,0,0,18.785627,.60031462,.6069013483956071,.33075541,5925.4863,5926.9995,5240.8838,21,3,3,4,7,5,5,8,7,10,232530084554.0086,29942.43537121126,7681261.48926111,13.70002701607459,1.654390272008735,1.543840149869727,0,1.878495009285556,0,1,0,0,0,0,0,0,8263207,10761655,2529054774395.616,871462608100.3274,1210177110808.971
